sku,p_type,weight
QC00378,单属性,30.0
QC00380,单属性,30.0
QC00369,单属性,40.0
	1610220059311,单属性,236.0
QC11338-02,多属性,165.0
QC14183,单属性,52.0
QC13118,单属性,46.0
QC22371,单属性,170.0
QC28790,单属性,56.0
QC31395,单属性,168.0
QC26812,单属性,377.0
QC33271,单属性,165.0
QCOT26400,单属性,20.0
QCOT27000,单属性,42.0
QC38010,单属性,776.0
	1613210129011,单属性,217.0
QC03897,单属性,163.0
QC00948-02,多属性,62.0
	1618200380711,单属性,247.0
QC00948-05,多属性,61.0
	1616200176312,多属性,80.0
	1614210107711,单属性,88.0
	1610210151311,单属性,209.0
QC28280,单属性,199.0
QC33448,单属性,182.0
	1610210152311,单属性,167.0
	1610210151211,单属性,181.0
	1610210152211,单属性,172.0
	2610210387311,单属性,48.0
	2610210248811,单属性,67.0
	2610210224411,单属性,131.0
	2511210110811,单属性,74.0
	2610210247811,单属性,73.0
	2611210058011,单属性,94.0
	2610210250411,单属性,67.0
	2610210221811,单属性,118.0
	2613220030711,多属性,84.0
	2610210222511,单属性,38.0
	2610210105811,单属性,130.0
	2610210104411,单属性,57.0
	2610210103411,单属性,53.0
	2511210111211,单属性,70.0
XD11396,单属性,542.0
	2613220108111,单属性,394.0
	2610210384211,单属性,52.0
	2610210104211,单属性,49.0
	2610200162211,单属性,67.0
	2610210386711,单属性,45.0
	2610200162311,单属性,56.0
	2610210103611,单属性,53.0
	1611210020011,单属性,28.0
	1610210064411,单属性,1542.0
	1610210064011,单属性,1815.0
	1610210119811,单属性,1312.0
	1610210119611,单属性,1362.0
QC24684,单属性,104.0
	3111210432311,单属性,1110.0
	1610210151611,单属性,205.0
	1610200105211,单属性,68.0
	1610220030311,单属性,51.0
	1610200122311,单属性,100.0
	1610210060411,单属性,100.0
	1610210039811,单属性,100.0
	1610200061111,多属性,61.0
	1610200018211,单属性,278.0
	1610220030711,单属性,60.0
	1610200064011,单属性,189.0
	1610200062811,单属性,180.0
	1610190066011,单属性,159.0
	1610190037011,单属性,220.0
	1610210141411,单属性,135.0
	1610190067411,单属性,164.0
	1610210151911,单属性,534.0
	1610200064911,单属性,170.0
	1610220027211,单属性,219.0
	1610190028011,单属性,804.0
	1616210338511,单属性,610.0
	1616210337511,单属性,225.0
	1616210323611,单属性,93.0
	1616210356811,单属性,108.0
	1616210018211,单属性,147.0
	1616210019111,多属性,343.0
	1616210019113,多属性,342.0
	1616210080911,多属性,100.0
	1616210010911,单属性,300.0
	1616210346711,单属性,267.0
	1616210322611,单属性,189.0
	1616210322511,单属性,117.0
	1616210288711,单属性,550.0
	1616210233211,单属性,311.0
	1616210337911,单属性,156.0
	1616210324011,单属性,364.0
	1616210223711,单属性,231.0
	1616210019311,单属性,1182.0
	1616210328211,单属性,246.0
	1616200188112,多属性,154.0
	1616210347311,单属性,271.0
	1616210229611,单属性,127.0
	1616210235711,单属性,127.0
	1616210203411,单属性,111.0
	1616210113011,单属性,339.0
	1616200187712,多属性,176.0
	1616210326411,单属性,251.0
	1616210228511,单属性,98.0
	1616210026211,单属性,195.0
	1616210165111,单属性,140.0
	1616210288911,单属性,148.0
	1616210295211,单属性,173.0
	1616210324711,单属性,182.0
	1616210018611,单属性,709.0
	1616210080913,多属性,100.0
	1616210233911,单属性,725.0
	1616210337411,单属性,97.0
	1616200017511,单属性,10.0
	1616210337711,单属性,448.0
	1616210235211,单属性,272.0
	1616200037512,多属性,768.0
	1616220021912,多属性,290.0
	1616210325311,单属性,240.0
	1616210019112,多属性,342.0
	1616210350111,单属性,350.0
	1616190022311,单属性,1152.0
	1616210336311,单属性,430.0
QC31923,单属性,1100.0
	1616210336211,单属性,429.0
	1616210350411,单属性,520.0
	1616210349611,单属性,386.0
	1616220021911,多属性,290.0
	1616210350811,单属性,328.0
	1616210148611,单属性,368.0
	1616210089911,单属性,21.0
	1616210333411,单属性,468.0
	1616200037511,多属性,764.0
	1616190022411,单属性,1268.0
	1616200183611,单属性,3500.0
	1616190022111,单属性,1312.0
	1616200086711,单属性,1453.0
	1616190097311,单属性,511.0
	1616220022112,多属性,298.0
	1616190096811,单属性,320.0
	1616200038113,多属性,816.0
QC28300-01,多属性,6.0
	1616210350211,单属性,600.0
	1616220022111,多属性,298.0
	1616190119211,单属性,426.0
	1616210333011,单属性,436.0
	1616210336111,单属性,485.0
	1616210350911,单属性,825.0
	1616210350611,单属性,510.0
	1616210336411,单属性,568.0
	1616210347611,单属性,221.0
	1616210350311,单属性,1031.0
	1616210056511,单属性,560.0
	1616200038111,多属性,820.0
	1616200037513,多属性,775.0
	1616210180211,单属性,6.0
	1616220017911,单属性,430.0
	1616190022511,单属性,1304.0
	1616210349811,单属性,460.0
	1616210334511,单属性,470.0
	1616210349911,单属性,264.0
QC29258,单属性,1518.0
QC31944,单属性,890.0
	1610190051811,单属性,865.0
	1610190025311,单属性,750.0
	1610190027411,单属性,975.0
	1610190065211,单属性,175.0
	1610190026011,单属性,620.0
	1610190066711,单属性,165.0
	1610200062111,单属性,165.0
QC34979,单属性,350.0
	1610190036811,单属性,220.0
	1610200011311,多属性,529.0
QC33298,单属性,158.0
	1610210152711,单属性,180.0
	1610190066211,单属性,161.0
QC21011,单属性,518.0
	1610200044511,单属性,799.0
	1610190016411,单属性,280.0
	1610200062711,单属性,176.0
QC23243,单属性,290.0
	1610190037111,单属性,250.0
	1610190019411,多属性,1117.0
	1610210152111,单属性,171.0
	1610190067111,单属性,175.0
	1610210152411,单属性,170.0
	1610210152011,单属性,162.0
QC06799,单属性,146.0
	1610210152811,单属性,181.0
	1610190065611,单属性,162.0
